Character,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Num_Chunks_Analyzed
Ginny Weasley,4.2704808712005615,3.263395667076111,3.3835318088531494,3.578716993331909,2.6222513914108276,2
Girl,4.237493515014648,3.3344244956970215,3.3339755535125732,3.6582441329956055,2.639157772064209,1
Goblin,4.353975772857666,3.449606418609619,3.4581892490386963,3.662846088409424,2.5886073112487793,1
Grawp,4.3671417236328125,3.538196325302124,3.585865020751953,3.720398187637329,2.5715649127960205,1
Gregory Goyle,4.368160724639893,3.364619255065918,3.1613776683807373,3.54429030418396,2.662581443786621,1
Griphook,4.398932933807373,3.461986780166626,3.533729314804077,3.6980865001678467,2.508963108062744,1
Griselda Marchbanks,4.355913162231445,3.4502830505371094,3.4146158695220947,3.6374146938323975,2.5351545810699463,1
Gryffindors,4.299587249755859,3.545928955078125,3.4837429523468018,3.606778144836426,2.4040613174438477,1
Guard,4.304235935211182,3.4372434616088867,3.379324197769165,3.5712172985076904,2.5592124462127686,1
Harry Potter,4.251197597715589,3.208040025499132,3.3927199522654217,3.5342804802788628,2.5836299684312607,45
Helena Ravenclaw,4.393243789672852,3.616697311401367,3.7744500637054443,3.7609236240386963,2.3915960788726807,1
Hermione Granger,4.266084710756938,3.2263286113739014,3.3926711082458496,3.53630793094635,2.5786505540211997,24
Horace Slughorn,4.313615322113037,3.2697928292410716,3.4583349568503245,3.5653604779924666,2.5061494282313754,7
Howler,4.3811116218566895,3.513915538787842,3.5828065872192383,3.741304874420166,2.5274455547332764,1
Igor Karkaroff,4.3866868019104,3.472435712814331,3.5301005840301514,3.6546413898468018,2.547172784805298,1
James Potter,4.3904500007629395,3.4615774154663086,3.5203709602355957,3.6648848056793213,2.510964870452881,1
Justin Finch-Fletchley,4.267614364624023,3.2666125297546387,3.2795188426971436,3.4955976009368896,2.576265335083008,1
Katie Bell,4.382729530334473,3.440124988555908,3.547248125076294,3.691465377807617,2.586428642272949,1
Kingsley Shacklebolt,4.348674297332764,3.459738254547119,3.4661991596221924,3.6388187408447266,2.5342907905578613,1
Kreacher,4.399400234222412,3.5519356727600098,3.6478703022003174,3.728569507598877,2.481801748275757,1
Lavender Brown,4.321306228637695,3.4373247623443604,3.5331099033355713,3.7347500324249268,2.583144187927246,1
Leanne,4.406614303588867,3.5720458030700684,3.5296828746795654,3.721082925796509,2.5203628540039062,1
Lee Jordan,4.322684288024902,3.4677746295928955,3.507652759552002,3.690565347671509,2.515488862991333,1
Lily Potter,4.370361328125,3.448391914367676,3.5387933254241943,3.7174789905548096,2.5410850048065186,1
Lucius Malfoy,4.385345300038655,3.4315706888834634,3.5576024055480957,3.6823226610819497,2.5258281230926514,3
Luna Lovegood,4.300243616104126,3.2937616109848022,3.395504951477051,3.5663020610809326,2.5586774349212646,2
Magorian,4.387263298034668,3.6219303607940674,3.531398057937622,3.6245791912078857,2.3099207878112793,1
Maid,4.352081298828125,3.4896559715270996,3.2895472049713135,3.593780755996704,2.486208200454712,1
Man,4.32588005065918,3.4679737091064453,3.5535199642181396,3.6892504692077637,2.525824546813965,1
Man in a painting,4.370502471923828,3.3952128887176514,3.3162167072296143,3.6283881664276123,2.6032092571258545,1
Marcus Belby,4.244751930236816,3.386361598968506,3.402759075164795,3.630241632461548,2.5969619750976562,1
Marcus Flint,4.312361717224121,3.3896265029907227,3.3750088214874268,3.6140058040618896,2.526721954345703,1
Marge Dursley,4.3267822265625,3.4008431434631348,3.537414073944092,3.694493055343628,2.5999598503112793,1
Mary Cattermole,4.287006378173828,3.3644447326660156,3.4214046001434326,3.616917371749878,2.615013837814331,1
Merpeople,4.522420883178711,3.623223304748535,3.5596675872802734,3.637127637863159,2.332339286804199,1
Michael Corner,4.391879081726074,3.4195683002471924,3.37880539894104,3.5530662536621094,2.4139404296875,1
Minerva McGonagall,4.362657785415649,3.3536552588144937,3.476056178410848,3.6265342235565186,2.51039989789327,6
Moaning Myrtle,4.3492937088012695,3.4169020652770996,3.528430700302124,3.6864311695098877,2.5609238147735596,1
Molly Weasley,4.279968738555908,3.3178536891937256,3.457597494125366,3.609488010406494,2.5444265604019165,2
Mr. Granger,4.340259075164795,3.3867664337158203,3.279878854751587,3.6794612407684326,2.64835262298584,1
Mrs. Cole,4.361415863037109,3.3632426261901855,3.44356369972229,3.63818621635437,2.5660738945007324,1
Mrs. Granger,4.401484966278076,3.5543229579925537,3.592071771621704,3.7626850605010986,2.4749207496643066,1
Mundungus Fletcher,4.3148512840271,3.4053285121917725,3.5546915531158447,3.684514284133911,2.5961527824401855,1
Muriel,4.324585437774658,3.39262056350708,3.4204862117767334,3.632899045944214,2.5605275630950928,1
Mykew Gregorovitch,4.3974456787109375,3.5223264694213867,3.5521557331085205,3.6766223907470703,2.494518280029297,1
Narcissa Malfoy,4.4629106521606445,3.5832648277282715,3.635291337966919,3.693819522857666,2.3953945636749268,1
Nearly Headless Nick,4.361751556396484,3.455747604370117,3.5586206912994385,3.7272098064422607,2.521730422973633,1
Neville Longbottom,4.279447237650554,3.2281994819641113,3.3746333916982016,3.5581417083740234,2.6356360912323,3
Nigel Wolpert,4.282228469848633,3.5390849113464355,3.5337448120117188,3.695498466491699,2.5078909397125244,1
Nymphadora Tonks,4.404267311096191,3.4747748374938965,3.6137895584106445,3.7335002422332764,2.5294017791748047,1
Old man,4.225095748901367,3.314997434616089,3.311697244644165,3.577439785003662,2.686912775039673,1
Oliver Wood,4.29918909072876,3.36370587348938,3.421630620956421,3.577951192855835,2.557583808898926,1
Olympe Maxime,4.388193130493164,3.476989507675171,3.542968511581421,3.714381456375122,2.529270648956299,1
Other,4.354669570922852,3.3754963874816895,3.4329473972320557,3.6349236965179443,2.523740530014038,1
Padma Patil,4.266448974609375,3.5022215843200684,3.452662944793701,3.6896307468414307,2.5591108798980713,1
Pansy Parkinson,4.342429161071777,3.4013569355010986,3.3209052085876465,3.5776398181915283,2.5219106674194336,1
Pansy parkinson,4.324366092681885,3.418294906616211,3.457868814468384,3.637204885482788,2.5039219856262207,1
Parvati Patil,4.367702484130859,3.4799282550811768,3.513021230697632,3.685401439666748,2.6161534786224365,1
Patronus,4.400881767272949,3.6108059883117676,3.6564064025878906,3.6718270778656006,2.357675075531006,1
Percy Weasley,4.386456489562988,3.457339286804199,3.508091926574707,3.6846683025360107,2.5256807804107666,1
Perkins,4.274496078491211,3.3201422691345215,3.2109148502349854,3.595215082168579,2.600715160369873,1
Peter Pettigrew,4.38409423828125,3.549184560775757,3.7025790214538574,3.773005723953247,2.5026745796203613,1
Petunia Dursley,4.334760665893555,3.384088397026062,3.503873586654663,3.6647415161132812,2.5632017850875854,2
Phineas,4.339531898498535,3.5007948875427246,3.6557602882385254,3.6778981685638428,2.533980369567871,1
Photographer,4.403817653656006,3.484039306640625,3.419909715652466,3.701533079147339,2.5452420711517334,1
Pius Thicknesse,4.419965744018555,3.6953396797180176,3.721219778060913,3.7483508586883545,2.3200736045837402,1
Pixie,4.3736467361450195,3.5426735877990723,3.5065557956695557,3.669755697250366,2.431689739227295,1
Pomona Sprout,4.318169116973877,3.3911333084106445,3.4404282569885254,3.649951696395874,2.5062694549560547,1
Poppy Pomfrey,4.3689422607421875,3.385054111480713,3.418170690536499,3.6505374908447266,2.5706095695495605,1
Professors,4.436135768890381,3.501603603363037,3.458681344985962,3.5904102325439453,2.5492124557495117,1
Quirinus Quirrell,4.38790225982666,3.438241481781006,3.5673317909240723,3.7153728008270264,2.5754334926605225,1
Remus Lupin,4.34305985768636,3.333946188290914,3.507758299509684,3.622093160947164,2.5033642450968423,6
Rita Skeeter,4.363587379455566,3.4446771144866943,3.54707932472229,3.679004192352295,2.4983255863189697,1
Rolanda Hooch,4.319993019104004,3.4695663452148438,3.595062017440796,3.6923000812530518,2.458367347717285,1
Ron Weasley,4.188145529140126,3.1429786031896416,3.3347998532381924,3.4884746074676514,2.6148243058811533,22
Rosmerta,4.299407958984375,3.376185417175293,3.4560601711273193,3.670504570007324,2.5960798263549805,1
Rubeus Hagrid,4.219483455022176,3.1587404012680054,3.35498309135437,3.4746217727661133,2.5843931436538696,12
Rufus Scrimgeour,4.4105634689331055,3.5392351150512695,3.58419132232666,3.690314531326294,2.4411325454711914,1
Scabior,4.317955017089844,3.3665690422058105,3.4714856147766113,3.6416015625,2.6058568954467773,1
Seamus Finnigan,4.207561016082764,3.290114641189575,3.3920360803604126,3.524434804916382,2.6015219688415527,2
Severus Snape,4.372502735682896,3.384658234460013,3.53674122265407,3.636173759187971,2.467496803828648,7
Shrunken head,4.297464370727539,3.3732175827026367,3.452510118484497,3.6298725605010986,2.616474151611328,1
Sirius Black,4.332824230194092,3.310831665992737,3.469362735748291,3.596750497817993,2.5374398827552795,4
Skinny kid,4.383591175079346,3.541835308074951,3.4229180812835693,3.6050338745117188,2.4275155067443848,1
Snake,4.3601884841918945,3.5218000411987305,3.3928794860839844,3.5745127201080322,2.4299159049987793,1
Snatcher,4.325039863586426,3.4393310546875,3.450525999069214,3.659276247024536,2.6152846813201904,1
Sorting Hat,4.330357551574707,3.3856148719787598,3.533083915710449,3.6299455165863037,2.5658390522003174,1
Stanley Shunpike,4.354571342468262,3.3775076866149902,3.446561098098755,3.5975756645202637,2.574050188064575,1
Station guard,4.308270454406738,3.413465738296509,3.343062162399292,3.615143060684204,2.525597095489502,1
Student,4.312839031219482,3.3861985206604004,3.395577907562256,3.6654646396636963,2.6777095794677734,1
Students,4.371758460998535,3.5129737854003906,3.5233213901519775,3.6688098907470703,2.490408182144165,1
Susan Bones,4.392423629760742,3.433514356613159,3.3795695304870605,3.643885612487793,2.5516574382781982,1
Sybill Trelawney,4.391847848892212,3.490754008293152,3.602524757385254,3.6962822675704956,2.376046657562256,2
The Fat Lady,4.377656936645508,3.4988512992858887,3.474497079849243,3.6679036617279053,2.4518628120422363,1
